Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,90.574997,98.384003,90.574997,93.307999,68.830925,159785
2010-01-05,92.657997,97.862999,92.397003,93.047997,68.639130,468886
2010-01-06,92.788002,98.123001,92.528000,93.569000,69.023460,644157
2010-01-07,95.000000,95.390999,92.167000,95.390999,70.367485,225727
2010-01-08,95.911003,103.069000,94.771004,100.986000,74.494789,615979
2010-01-11,100.986000,106.973000,99.425003,105.931999,78.143318,705254
2010-01-12,109.315002,110.323997,106.061996,108.665001,80.159370,447925
2010-01-13,108.665001,113.480003,105.541000,111.007004,81.887009,287128
2010-01-14,108.274002,114.000000,108.274002,112.307999,82.846733,246079
2010-01-15,108.274002,112.439003,108.274002,111.007004,81.887009,431155
2010-01-18,109.315002,110.382004,108.389000,109.445000,80.734764,181449
2010-01-19,110.356003,110.356003,106.321999,108.665001,80.159370,298278
2010-01-20,109.315002,109.315002,107.492996,109.315002,80.638870,86626
2010-01-21,109.315002,109.315002,106.321999,106.321999,78.431000,167441
2010-01-22,106.192001,108.143997,104.110001,107.233002,79.103020,273803
2010-01-25,104.370003,108.794998,104.370003,106.192001,78.335106,328596
2010-01-26,106.192001,108.274002,104.239998,106.973000,78.911232,620574
2010-01-27,109.315002,110.356003,106.711998,108.794998,80.255272,250858
2010-01-28,108.274002,110.616997,108.274002,109.966003,81.119102,48764
2010-01-29,110.876999,113.870003,108.794998,112.829002,83.231056,1746058
2010-02-01,111.788002,112.959000,109.055000,111.917999,82.559029,257156
2010-02-02,109.966003,112.047997,109.574997,110.225998,81.310875,120269
2010-02-03,111.788002,114.129997,109.445000,110.356003,81.406784,181791
2010-02-04,102.547997,102.547997,102.547997,102.547997,75.647011,213175
2010-02-05,110.356003,112.959000,107.753998,109.574997,80.830673,1352803
2010-02-08,109.966003,111.538002,108.143997,109.315002,80.638870,233830
2010-02-09,106.843002,111.777000,105.931999,107.233002,79.103020,144697
2010-02-10,105.151001,108.177002,105.151001,106.321999,78.431000,5674111
2010-02-11,107.102997,108.834000,106.711998,107.623001,79.390724,66624
2010-02-12,106.192001,109.706001,100.986000,104.629997,77.182861,186972
2010-02-15,102.028000,105.670998,102.028000,104.760002,77.278770,570471
2010-02-16,103.588997,106.582001,103.069000,105.411003,77.758987,49611
2010-02-17,106.973000,107.623001,102.547997,105.670998,77.950790,41523
2010-02-18,106.452003,109.184998,104.458000,107.233002,79.103020,128096
2010-02-19,106.711998,108.143997,100.986000,105.802002,78.047417,357125
2010-02-22,104.890999,108.274002,104.110001,108.274002,79.870949,243793
2010-02-23,108.143997,109.966003,107.301003,109.835999,81.023193,260923
2010-02-24,109.055000,110.876999,107.233002,109.315002,80.638870,422310
2010-02-25,110.876999,110.876999,105.670998,105.670998,77.950790,180901
2010-02-26,110.876999,110.876999,105.670998,108.533997,80.062737,41499
2010-03-01,106.711998,110.683998,106.711998,107.492996,79.294823,142429
2010-03-02,106.711998,108.482002,106.711998,107.102997,79.007126,75274
2010-03-03,106.711998,108.274002,102.028000,103.719002,80.257607,366926
2010-03-04,103.848999,105.431999,103.069000,105.021004,81.265076,392459
2010-03-05,114.521004,114.521004,114.521004,114.521004,88.616158,356117
2010-03-08,105.021004,109.147003,103.069000,104.890999,81.164474,199655
2010-03-09,102.938004,104.302002,101.507004,102.678001,79.452065,987308
2010-03-10,102.417999,104.239998,102.167999,103.980003,80.459549,388813
2010-03-11,102.678001,103.912003,102.547997,102.547997,79.351463,51626
2010-03-12,102.288002,106.192001,101.507004,102.678001,79.452065,157555
2010-03-15,102.678001,104.552002,101.660004,103.588997,80.156998,350532
2010-03-16,103.980003,106.606003,101.507004,103.980003,80.459549,167416
2010-03-17,103.329002,104.500000,101.507004,102.028000,78.949097,360260
2010-03-18,102.938004,104.110001,101.891998,103.588997,80.156998,165276
2010-03-19,103.198997,105.021004,102.954002,103.719002,80.257607,148607
2010-03-22,101.637001,103.459000,101.637001,102.807999,79.552658,45804
